, YR   MON  TOTAL ClimAdjust ANOM 
461,1988   6   25.99   27.43   -1.44
462,1988   7   25.56   27.01   -1.45
463,1988   8   25.67   26.66   -0.99
464,1988   9   25.72   26.59   -0.87
465,1988  10   24.82   26.54   -1.71
466,1988  11   24.66   26.50   -1.85
467,1988  12   24.64   26.47   -1.83
468,1989   1   24.59   26.46   -1.87
469,1989   2   25.29   26.66   -1.37
470,1989   3   26.09   27.14   -1.05
471,1989   4   26.75   27.58   -0.82
472,1989   5   27.07   27.68   -0.61
473,1989   6   27.14   27.43   -0.29
474,1989   7   26.71   27.01   -0.30
475,1989   8   26.32   26.66   -0.33
476,1989   9   26.41   26.59   -0.18
477,1989  10   26.32   26.54   -0.22
478,1989  11   26.25   26.50   -0.25
479,1989  12   26.46   26.47   -0.01
480,1990   1   26.56   26.46    0.11
481,1990   2   26.98   26.66    0.31
482,1990   3   27.34   27.14    0.20
483,1990   4   27.90   27.58    0.33
484,1990   5   28.02   27.68    0.34
485,1990   6   27.65   27.43    0.21
486,1990   7   27.38   27.01    0.37
487,1990   8   27.07   26.66    0.42
488,1990   9   26.94   26.59    0.35
489,1990  10   26.93   26.54    0.40
490,1990  11   26.81   26.50    0.31
491,1990  12   26.96   26.47    0.48
492,1991   1   27.04   26.59    0.45
493,1991   2   27.08   26.79    0.29
494,1991   3   27.33   27.28    0.05
495,1991   4   28.02   27.70    0.32
496,1991   5   28.20   27.80    0.40
497,1991   6   28.25   27.60    0.65
498,1991   7   28.05   27.19    0.86
499,1991   8   27.53   26.84    0.69
500,1991   9   27.14   26.78    0.36
501,1991  10   27.58   26.76    0.82
502,1991  11   27.89   26.70    1.19
503,1991  12   28.28   26.66    1.62
504,1992   1   28.37   26.59    1.78
505,1992   2   28.53   26.79    1.74
506,1992   3   28.66   27.28    1.38
507,1992   4   29.02   27.70    1.32
508,1992   5   28.97   27.80    1.16
509,1992   6   28.30   27.60    0.70
510,1992   7   27.51   27.19    0.33
511,1992   8   26.91   26.84    0.07
512,1992   9   26.66   26.78   -0.13
513,1992  10   26.42   26.76   -0.34
514,1992  11   26.42   26.70   -0.28
515,1992  12   26.45   26.66   -0.21
516,1993   1   26.70   26.59    0.10
517,1993   2   27.17   26.79    0.38
518,1993   3   27.68   27.28    0.40
519,1993   4   28.41   27.70    0.71
520,1993   5   28.71   27.80    0.91
521,1993   6   28.08   27.60    0.48
522,1993   7   27.52   27.19    0.33
523,1993   8   26.99   26.84    0.15
524,1993   9   27.07   26.78    0.29
525,1993  10   26.78   26.76    0.02
526,1993  11   26.71   26.70    0.01
527,1993  12   26.76   26.66    0.10
528,1994   1   26.65   26.59    0.06
529,1994   2   26.82   26.79    0.03
530,1994   3   27.39   27.28    0.11
531,1994   4   28.08   27.70    0.38
532,1994   5   28.24   27.80    0.43
533,1994   6   28.04   27.60    0.44
534,1994   7   27.54   27.19    0.35
535,1994   8   27.38   26.84    0.54
536,1994   9   27.19   26.78    0.41
537,1994  10   27.47   26.76    0.71
538,1994  11   27.81   26.70    1.11
539,1994  12   27.85   26.66    1.19
540,1995   1   27.57   26.59    0.98
541,1995   2   27.49   26.79    0.71
542,1995   3   27.76   27.28    0.48
543,1995   4   28.11   27.70    0.41
544,1995   5   27.83   27.80    0.02
545,1995   6   27.59   27.60   -0.01
546,1995   7   27.08   27.19   -0.11
547,1995   8   26.23   26.84   -0.61
548,1995   9   25.88   26.78   -0.90
549,1995  10   25.84   26.76   -0.92
550,1995  11   25.61   26.70   -1.10
551,1995  12   25.66   26.66   -1.00
552,1996   1   25.70   26.56   -0.86
